Country;Region;# stores;Latitude;Longitude;Avg. distance to HE (km)
DK;Region 4;17;55,46178341;10,04413136;42,62
DK;Region 3;17;55,51459944;9,03201559;49,36
DK;Region 2;18;56,22502713;10,11382783;56,93
DK;Region 1;17;56,95329502;9,58685778;130,64
DK;Region 6;16;55,81922101;12,16557933;156,43
DK;Region 5;17;55,34286984;12,02905885;156,45
DK;Region 7;18;55,68644855;12,43241937;173,64
DK;Region 8;19;55,72257928;12,52181315;178,96
SE;Region 3;16;55,88667661;13,31983186;228,61
NO;Region 1;15;58,30756135;8,17887280;295,12
SE;Region 5;14;56,88099518;14,13634898;301,65
SE;Region 1;16;58,53880019;12,76113101;359,15
NO;Region 9;15;58,84275766;5,74558993;413,87
NO;Region 5;17;59,57352463;9,84473898;422,05
NO;Region 6;16;59,55907217;10,89562667;426,62
NO;Region 11;19;59,86042224;10,59228067;457,12
NO;Region 2;12;59,91980873;10,72460271;464,66
NL;Region 1;12;52,31416738;5,13157125;485,58
NO;Region 3;20;60,14496611;5,38147853;546,97
NO;Region 7;18;60,66251529;11,00476037;548,62
SE;Region 6;14;58,88568899;17,38180714;577,27
SE;Region 2;17;59,21007141;17,76052742;615,43
SE;Region 7;14;60,01914635;16,80552507;632,07
SE;Region 4;12;59,44126333;18,04744538;643,55
FR;Region 2;9;50,70375637;2,76438234;726,80
NO;Region 10;9;62,24331853;6,85472600;736,37
FR;Region 9;8;48,93818280;5,88543666;802,49
NO;Region 4;17;63,63105406;10,68930756;874,95
FR;Region 3;12;49,07191476;2,39044968;893,06
FR;Region 1;11;48,83616076;2,54231344;910,23
FR;Region 6;7;47,74882856;6,07577687;926,12
FR;Region 5;11;48,73297185;2,09818678;936,38
FR;Region 11;9;48,60289829;2,22927016;944,10
FI;Region 5;9;60,55858130;23,06436297;945,99
FI;Region 2;14;61,83676831;22,88389581;1.013,16
FI;Region 6;8;60,22062226;24,79084821;1.015,71
FI;Region 1;12;60,20679855;25,04183413;1.027,97
FR;Region 8;9;48,66547512;-0,51948133;1.049,93
SE;Region 8;6;63,93237603;19,26283288;1.050,68
FR;Region 12;11;45,65890936;4,80490161;1.175,43
FI;Region 3;17;61,59045460;27,11266272;1.191,99
FR;Region 13;12;47,07441377;-0,94147308;1.212,69
FI;Region 4;8;64,96767543;25,26269535;1.326,47
FR;Region 10;10;43,37843510;6,04558190;1.402,87
FR;Region 4;9;43,53525512;4,86451099;1.403,76
NO;Region 8;14;68,35968010;16,78612406;1.444,95
FR;Region 7;12;43,88015215;0,01958457;1.489,80
ES;Region 2;8;40,34498683;0,71510700;1.836,96
PT;Region 2;11;41,11083571;-8,40168333;2.093,02
ES;Region 1;14;38,71166599;-3,82915358;2.145,16
PT;Region 1;15;38,74056172;-8,95508311;2.342,73
