Country;Store;Store Name;Address;Postal code;City;Region;Latitude;Longitude
DK;DK1001; Silkeborg;Torvet 2;8000;Silkeborg;3;56,16844;9,54574
DK;DK1002; Aalborg City;Algade 19;9000;Aalborg;1;57,04703;9,92412
DK;DK1003; Vejle;Torvegade 12;7100;Vejle;4;55,70848;9,53321
DK;DK1004; Randers City;Dytmærsken 5;8900;Randers;2;56,45941;10,03888
DK;DK1006; Odense;Vestergade 67;5000;Odense;4;55,394712;10,3804883
DK;DK1007; Waves;Over Bølgen 7D;2670;Greve;5;55,598368;12,3260493
DK;DK1008; Vesterbrogade;;1620;København V;7;55,6727889;12,5482178
DK;DK1009; Horsens;Søndergade 13;8700;Horsens;4;55,862169;9,844618
DK;DK1010; Ballerup;Ballerup-Centret 2;2750;Ballerup;7;55,729058;12,3557372
DK;DK1011; Aalborg Stc;Hobrovej 450-452;9200;Aalborg SV;1;57,0046866;9,873889
DK;DK1012; Roskilde;Skomagergade 5;4000;Roskilde;6;55,6408997;12,0772298
DK;DK1014; Holstebro;Nørregade 1;7500;Holstebro;1;56,3590875;8,6150396
DK;DK1015; Fields;Arne Jakobsens Allé 20;2300;København;5;55,6299477;12,5757602
DK;DK1016; Fisketorvet;Kalvebod Brygge 59;1561;København V;7;55,6619346;12,5591847
DK;DK1017; Herning;Bredgade 28;7400;Herning;3;56,1362991;8,9687897
DK;DK1018; Herlev;Herlev Bygade 22;2730;Herlev;7;55,7248769;12,4370652
DK;DK1019; Viborg;Sct. Mathias Gade 33;8800;Viborg;1;56,4494702;9,4053773
DK;DK1020; Frederikshavn;Danmarksgade 74b;9900;Frederikshavn;1;57,4388579;10,5330522
DK;DK1021; Sønderborg;Kastanie Alle 3;6400;Sønderborg;3;54,9094171;9,789206
DK;DK1022; Helsingør Bycenter;Stürups Plads 1;3000;Helsingør;6;56,0326489;12,6056696
DK;DK1023; Slagelse;Jernbanegade 10a;4200;Slagelse;5;55,4181714;11,3335001
DK;DK1024; Frederikssund;Nygade 1;3600;Frederikssund;6;55,8355049;12,0622705
DK;DK1025; Kolding Storcenter;Skovvangen 42;6000;Kolding;4;55,5139433;9,457668
DK;DK1026; Fredericia;Gothersgade 14;7000;Fredericia;4;55,5660648;9,7543213
DK;DK1027; Nykøbing F.;Østergågade 11-15;4800;Nykøbing F;5;54,7815417;11,8852502
DK;DK1028; City 2;City 2, Hveen Boulevard;2630;Taastrup;7;55,6442909;12,2765412
DK;DK1029; Købmagergade;Købmagergade 60;1150;København K;8;55,6818103;12,5731523
DK;DK1030; Hjørring Metropol;Østergade 30;9800;Hjørring;1;57,4567543;9,9883967
DK;DK1031; City Vest;Gudrunsvej 7;8220;Brabrand;2;56,1545463;10,1328903
DK;DK1032; Egedal;Egedal Centret 88;3660;Stenløse;7;55,7679837;12,1888399
DK;DK1033; Normal Hvidovre Friheden;Strandmarksvej 20;2650;Hvidovre;7;55,627023;12,4819316
DK;DK1034; Bruuns Galleri;M.P. Bruuns Gade 25;8000;Aarhus C;2;56,1491507;10,2026022
DK;DK1035; Farum;Farum Bytorv 73;3520;Farum;7;55,8144893;12,3782082
DK;DK1036; Rødovre;Rødovre Centrum;2610;Rødovre;7;55,6788351;12,4548089
DK;DK1037; Amager Centret;Reberbanegade 3;2300;København S;5;55,6630115;12,6020523
DK;DK1038; Ishøj;Østergade 29;2635;Ishøj;5;55,6157579;12,3426223
DK;DK1039; Thisted;Torvegade 4-6;7700;Thisted;1;56,9549277;8,6890733
DK;DK1040; Holte;Holte Midtpunkt;2840;Holte;8;55,8113371;12,4700881
DK;DK1041; Næstved Storcenter;Næstved Storcenter;4700;Næstved;5;55,2524214;11,7777581
DK;DK1042; Kalundborg;Kordilgade 6;4400;Kalundborg;6;55,6806744;11,0857613
DK;DK1043; Glostrup Shoppingcenter;Glostrup shoppingcenter 101;2600;Glostrup;7;55,6648591;12,3971839
DK;DK1044; Nørrebro Bycenter;Lygten 2;2400;København NV;8;55,7016313;12,5354713
DK;DK1045; Randers Storcenter;Merkurvej 55;8960;Randers;2;56,4297019;10,0617112
DK;DK1046; Esbjerg;Kongensgade 33;6700;Esbjerg;3;55,4662096;8,4489548
DK;DK1047; Værløse;Bymidten 90;3500;Værløse;8;55,783031;12,3719764
DK;DK1048; Svendborg city;Kattesundet 2;5700;Svendborg;4;55,0595284;10,6067278
DK;DK1049; Køge;Brogade 11-13;4600;Køge;5;55,4554467;12,1800063
DK;DK1050; Albertslund;Stationstorvet 24;2620;Albertslund;7;55,6570238;12,3512892
DK;DK1051; Spinderiet Valby;Torvegade 22;2500;Valby;7;55,6650147;12,5085796
DK;DK1052; ROs Torv;Ros torv 1;4000;Roskilde;6;55,6414214;12,0979763
DK;DK1053; Greve;Greve midtbycenter;2670;Greve;5;55,5826796;12,2939078
DK;DK1054; Aabenraa;Storegade 3 st;6200;Aabenraa;3;55,0451202;9,416585
DK;DK1055; Aars;Himmerlandsgade 84;9600;Aars;1;56,8034204;9,5136953
DK;DK1056; Vejen;Nørregade 14;6600;Vejen;3;55,4764121;9,1365389
DK;DK1057; Tønder;Vestergade 19;6270;Tønder;3;54,9349905;8,8654471
DK;DK1058; Skive;Nørregade 22;7800;Skive;1;56,568276;9,0249148
DK;DK1059; Kolding City;Rendebanen 13;6000;Kolding;4;55,4893163;9,470425
DK;DK1060; Herning Centret;Merkurvej 1a;7400;Herning;3;56,1356637;8,9973904
DK;DK1061; Hørsholm;Midtpunkt;2970;Hørsholm;6;55,8819244;12,4936213
DK;DK1062; Nakskov;Nygade 4A;4900;Nakskov;5;54,8301039;11,1388761
DK;DK1063; Ringsted;Torvet 1;4100;Ringsted;5;55,4407314;11,7791441
DK;DK1064; Skanderborg;Adelgade 61;8660;Skanderborg;2;56,0336158;9,92816
DK;DK1065; Brønderslev;Albani Plads 2;9700;Brønderslev;1;57,267375;9,9449745
DK;DK1066; Strøget København;Nygade 1-3;1164;København K;8;55,6783044;12,5715862
DK;DK1067; Hellerup;Strandvejen 159;2900;Hellerup;8;55,7319703;12,5733151
DK;DK1068; Ribe;Saltgade 10;6760;Ribe;3;55,3305996;8,7646992
DK;DK1070; Normal Hvidovre C Stationscenter;Laurits Olsens Vej 1;2650;Hvidovre;7;55,663821;12,4720442
DK;DK1071; Frederiksværk;Nordcentret lejemål 1;3300;Frederiksværk;6;55,9769832;12,0168819
DK;DK1072; Bagsværd;Bagsværd Hovedgade 106;2880;Bagsværd;8;55,7601585;12,454151
DK;DK1073; Vordingborg;Algade 81;4760;Vordingborg;5;55,0092243;11,90593
